Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
CHEVROLET,MODEL-184,SUV - SMALL,1.5,4,M5,Z,9.4,5.3,7.6,31,176
HYUNDAI,MODEL-839,VAN - PASSENGER,3.5,8,AS7,Z,15.9,13.7,14.9,16,338
ASTON MARTIN,MODEL-972,VAN - PASSENGER,2.5,6,M6,X,13.1,8.8,11.2,21,253
GENESIS,MODEL-969,MINICOMPACT,2.0,4,A6,Z,10.5,7.7,9.2,26,214
VOLKSWAGEN,MODEL-492,PICKUP TRUCK - STANDARD,2.5,4,A8,Z,13.2,8.8,11.2,21,261
RAM,MODEL-106,PICKUP TRUCK - SMALL,3.0,4,AM6,X,13.6,9.7,11.8,20,272
INFINITI,MODEL-700,TWO-SEATER,2.0,4,AS8,X,12.2,8.7,10.6,22,247
GMC,MODEL-492,TWO-SEATER,3.0,6,AS10,X,14.5,11.6,13.2,18,304
BMW,MODEL-600,VAN - PASSENGER,3.0,6,A6,Z,14.2,10.4,12.5,19,286
MERCEDES-BENZ,MODEL-515,SUBCOMPACT,1.5,3,A9,Z,9.5,6.2,8.0,29,181
LINCOLN,MODEL-425,MINICOMPACT,1.5,3,AS7,Z,8.6,6.7,7.7,31,182
DODGE,MODEL-744,MINICOMPACT,1.5,4,AV8,Z,9.3,6.8,8.2,29,181
LAMBORGHINI,MODEL-258,SUV - SMALL,1.0,3,AS7,Z,8.1,4.0,6.3,37,147
NISSAN,MODEL-473,SUBCOMPACT,3.0,6,AV7,X,13.7,10.4,12.2,19,277
ACURA,MODEL-622,STATION WAGON - MID-SIZE,1.5,3,A7,E,11.2,6.8,9.2,26,129
MAZDA,MODEL-541,PICKUP TRUCK - STANDARD,3.5,4,AS8,X,14.9,11.4,13.3,18,305
GENESIS,MODEL-842,SPECIAL PURPOSE VEHICLE,2.0,4,AM7,X,11.7,9.7,10.8,22,241
FORD,MODEL-196,STATION WAGON - SMALL,2.0,4,AV8,Z,10.8,8.4,9.7,24,212
CHEVROLET,MODEL-956,TWO-SEATER,2.0,6,AS5,X,12.4,9.1,10.9,22,243
BUICK,MODEL-901,MID-SIZE,2.0,4,A8,N,12.6,7.9,10.5,22,205
SUBARU,MODEL-184,MINICOMPACT,2.0,4,AM7,X,12.2,9.7,11.1,21,255
GENESIS,MODEL-638,COMPACT,3.0,4,A7,X,12.1,9.5,10.9,22,252
FIAT,MODEL-218,MINICOMPACT,1.5,3,AS9,X,10.2,8.3,9.3,25,209
AUDI,MODEL-764,VAN - CARGO,2.0,6,AS10,Z,12.3,10.4,11.4,21,265
KIA,MODEL-357,SPECIAL PURPOSE VEHICLE,3.0,6,AM7,E,16.7,14.7,15.8,15,241
BUICK,MODEL-635,VAN - PASSENGER,3.0,6,A7,E,16.7,11.3,14.3,16,214
JAGUAR,MODEL-309,VAN - PASSENGER,3.5,8,A5,Z,15.4,11.8,13.8,17,331
DODGE,MODEL-508,SUBCOMPACT,1.5,4,AS6,D,10.5,8.4,9.6,25,264
CADILLAC,MODEL-841,SPECIAL PURPOSE VEHICLE,1.5,4,A7,X,9.8,7.8,8.9,26,210
MINI,MODEL-149,MID-SIZE,2.0,4,AM6,X,11.5,9.8,10.7,22,250
PORSCHE,MODEL-865,VAN - PASSENGER,3.0,6,AS6,D,12.6,10.7,11.7,20,312
VOLKSWAGEN,MODEL-570,STATION WAGON - SMALL,2.5,4,AS10,X,11.2,6.7,9.2,26,206
FORD,MODEL-821,STATION WAGON - MID-SIZE,3.0,8,A7,N,14.5,10.8,12.8,18,246
PORSCHE,MODEL-446,VAN - PASSENGER,3.0,8,AS9,X,14.8,12.4,13.7,17,299
MITSUBISHI,MODEL-394,MID-SIZE,3.5,6,AS7,X,14.6,10.7,12.8,18,294
VOLVO,MODEL-862,STATION WAGON - MID-SIZE,3.5,6,A4,X,15.0,10.6,13.0,18,298
KIA,MODEL-873,SUV - SMALL,3.0,6,AM6,Z,13.8,10.2,12.2,19,279
BUICK,MODEL-819,TWO-SEATER,1.5,3,A7,E,14.3,9.0,11.9,20,180
BUICK,MODEL-253,SUV - SMALL,1.5,3,AM6,Z,11.1,7.6,9.5,25,218
BMW,MODEL-937,STATION WAGON - MID-SIZE,2.5,4,M5,Z,12.7,10.8,11.8,20,264
MITSUBISHI,MODEL-907,STATION WAGON - MID-SIZE,2.0,4,AS7,X,11.5,9.0,10.4,23,235
MITSUBISHI,MODEL-444,SUBCOMPACT,2.0,6,A8,X,12.9,9.4,11.3,21,266
ROLLS-ROYCE,MODEL-955,STATION WAGON - SMALL,2.0,6,AS8,Z,12.2,7.7,10.2,23,227
MINI,MODEL-842,MINICOMPACT,1.5,3,AV,X,8.7,5.6,7.3,32,168
ALFA ROMEO,MODEL-890,MINICOMPACT,2.0,4,AS6,N,10.5,6.1,8.5,28,158
JAGUAR,MODEL-228,STATION WAGON - SMALL,2.0,4,A7,X,11.3,9.1,10.3,23,243
ACURA,MODEL-820,PICKUP TRUCK - SMALL,2.5,4,A5,Z,11.2,6.8,9.2,26,207
INFINITI,MODEL-136,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,D,10.4,8.7,9.6,25,258
ASTON MARTIN,MODEL-273,TWO-SEATER,2.0,4,AV7,Z,11.2,7.2,9.4,25,215
JAGUAR,MODEL-737,MINICOMPACT,1.0,3,A6,D,8.4,6.8,7.7,31,195
INFINITI,MODEL-230,TWO-SEATER,2.5,4,AS8,Z,13.4,10.9,12.3,19,287
MERCEDES-BENZ,MODEL-463,SUV - STANDARD,3.5,4,AV7,X,15.9,13.9,15.0,16,336
VOLVO,MODEL-470,SUV - SMALL,1.5,4,AM7,Z,9.8,7.5,8.8,27,198
AUDI,MODEL-614,PICKUP TRUCK - SMALL,2.5,4,A5,X,12.7,8.7,10.9,22,252
LAMBORGHINI,MODEL-662,STATION WAGON - SMALL,1.5,4,AM7,X,12.3,9.0,10.8,22,251
CHRYSLER,MODEL-382,SUV - SMALL,2.5,4,AS6,Z,11.6,8.4,10.2,23,230
JEEP,MODEL-255,PICKUP TRUCK - SMALL,3.0,6,M7,X,14.7,10.6,12.9,18,278
MAZDA,MODEL-207,STATION WAGON - MID-SIZE,3.0,4,M7,Z,10.7,5.9,8.5,28,202
VOLKSWAGEN,MODEL-676,PICKUP TRUCK - STANDARD,3.5,6,AM7,X,15.1,12.9,14.1,17,325
CHEVROLET,MODEL-854,STATION WAGON - MID-SIZE,3.0,8,A8,Z,15.4,13.4,14.5,16,329
TOYOTA,MODEL-235,SUBCOMPACT,2.0,4,A6,X,10.3,5.6,8.2,29,176
ACURA,MODEL-175,MID-SIZE,2.0,4,AM7,X,10.0,5.5,8.0,29,183
MITSUBISHI,MODEL-585,PICKUP TRUCK - STANDARD,3.0,4,AV8,X,14.2,9.8,12.2,19,280
BENTLEY,MODEL-864,STATION WAGON - MID-SIZE,2.0,6,M7,Z,10.9,7.7,9.5,25,214
ACURA,MODEL-404,COMPACT,2.0,4,AS6,X,11.7,10.2,11.0,21,260
BUICK,MODEL-732,PICKUP TRUCK - STANDARD,2.0,4,AM7,X,12.1,7.1,9.8,24,230
LINCOLN,MODEL-803,SPECIAL PURPOSE VEHICLE,3.0,6,M5,E,16.3,14.0,15.3,15,231
BUICK,MODEL-359,STATION WAGON - SMALL,2.0,6,AS10,N,13.2,9.1,11.4,21,207
SMART,MODEL-518,SUBCOMPACT,1.5,4,A5,N,8.8,5.8,7.5,31,150
CHRYSLER,MODEL-133,SUV - STANDARD,2.0,6,AS10,D,9.5,8.1,8.9,26,230
HONDA,MODEL-819,VAN - CARGO,3.0,8,AV10,Z,14.9,12.5,13.8,17,316
NISSAN,MODEL-460,PICKUP TRUCK - STANDARD,3.5,6,A5,X,14.9,11.0,13.1,18,285
INFINITI,MODEL-456,MINICOMPACT,3.5,6,AS5,Z,14.0,9.4,11.9,20,269
MASERATI,MODEL-366,STATION WAGON - MID-SIZE,1.0,4,AS5,N,9.2,7.3,8.3,28,151
BENTLEY,MODEL-428,COMPACT,1.5,4,AS6,X,9.4,7.2,8.4,28,183
VOLVO,MODEL-776,SPECIAL PURPOSE VEHICLE,3.5,6,AV7,E,17.6,14.5,16.2,15,245
CHEVROLET,MODEL-631,TWO-SEATER,3.0,6,AM7,Z,14.1,11.5,12.9,18,294
LEXUS,MODEL-804,MID-SIZE,4.0,6,A8,Z,16.2,13.0,14.8,16,346
BUICK,MODEL-605,SUV - STANDARD,2.5,6,M6,X,14.3,10.5,12.6,19,297
FIAT,MODEL-136,SPECIAL PURPOSE VEHICLE,3.0,8,AS7,X,12.7,10.9,11.9,20,270
PORSCHE,MODEL-154,VAN - CARGO,2.5,4,AM7,X,11.8,9.6,10.8,22,243
BUICK,MODEL-101,SUV - STANDARD,2.5,4,AS6,D,10.9,8.0,9.6,25,253
LEXUS,MODEL-317,TWO-SEATER,1.5,3,M5,X,9.1,5.2,7.3,32,165
CADILLAC,MODEL-235,SUV - STANDARD,2.0,4,AS6,Z,12.0,10.1,11.1,21,261
JEEP,MODEL-317,PICKUP TRUCK - SMALL,3.0,4,A9,Z,14.3,10.7,12.7,19,297
ACURA,MODEL-869,SUBCOMPACT,3.0,4,M7,Z,12.9,8.2,10.8,22,254
LAMBORGHINI,MODEL-818,PICKUP TRUCK - SMALL,3.5,8,A8,X,15.8,13.5,14.8,16,339
MINI,MODEL-248,VAN - PASSENGER,3.0,6,A6,X,13.1,9.1,11.3,21,267
MAZDA,MODEL-723,SUV - SMALL,3.5,4,A4,X,14.4,11.1,12.9,18,303
LAND ROVER,MODEL-906,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.8,12.4,14.3,16,329
ACURA,MODEL-851,STATION WAGON - MID-SIZE,1.5,3,A6,Z,10.0,6.4,8.4,28,193
NISSAN,MODEL-709,VAN - PASSENGER,2.0,4,AM6,X,12.7,9.2,11.1,21,253
GENESIS,MODEL-567,MID-SIZE,2.5,4,AS7,Z,11.8,10.0,11.0,21,256
MERCEDES-BENZ,MODEL-279,MID-SIZE,2.5,6,AV8,X,11.9,8.7,10.5,22,243
LAMBORGHINI,MODEL-803,STATION WAGON - SMALL,2.0,4,AS6,Z,12.4,10.5,11.5,20,266
JAGUAR,MODEL-120,VAN - PASSENGER,2.5,4,M6,Z,14.1,11.3,12.8,18,296
HONDA,MODEL-467,STATION WAGON - SMALL,2.0,4,AS6,Z,11.9,7.2,9.8,24,227
FORD,MODEL-715,FULL-SIZE,2.5,4,AS6,X,10.8,6.0,8.6,27,188
ACURA,MODEL-267,MINICOMPACT,1.5,3,M5,X,9.4,6.3,8.0,29,181
SUBARU,MODEL-199,COMPACT,2.5,4,AS8,X,12.0,9.5,10.9,22,253
LEXUS,MODEL-164,VAN - CARGO,3.5,8,A4,E,19.8,16.6,18.4,13,270
AUDI,MODEL-327,VAN - PASSENGER,2.0,4,M7,X,11.4,6.9,9.4,25,212
ALFA ROMEO,MODEL-794,VAN - CARGO,1.5,4,AM7,Z,12.0,7.3,9.9,24,220
MAZDA,MODEL-471,STATION WAGON - MID-SIZE,2.0,6,A7,X,12.3,10.0,11.3,21,266
GMC,MODEL-320,TWO-SEATER,1.5,4,M7,X,10.3,5.5,8.1,29,187
ROLLS-ROYCE,MODEL-490,SUBCOMPACT,3.0,6,AS9,X,13.5,11.6,12.6,19,300
BUICK,MODEL-327,VAN - PASSENGER,3.0,6,AS6,X,14.8,12.9,13.9,17,329
MAZDA,MODEL-268,PICKUP TRUCK - SMALL,3.5,6,AV,X,12.5,8.1,10.5,22,236
VOLKSWAGEN,MODEL-407,VAN - PASSENGER,3.0,6,A8,X,13.7,10.0,12.0,20,280
NISSAN,MODEL-102,VAN - PASSENGER,3.0,6,A10,Z,13.0,10.5,11.9,20,268
BUICK,MODEL-928,VAN - CARGO,2.5,4,A8,X,11.8,7.7,10.0,24,226
LAND ROVER,MODEL-259,STATION WAGON - SMALL,2.5,6,AV,X,13.2,8.8,11.2,21,243
GENESIS,MODEL-951,SUBCOMPACT,1.5,4,A4,X,11.6,7.5,9.8,24,224
CADILLAC,MODEL-681,MID-SIZE,2.5,6,AV10,X,12.2,9.3,10.9,22,248
FORD,MODEL-117,VAN - PASSENGER,3.0,6,A7,Z,13.1,10.9,12.1,19,274
NISSAN,MODEL-224,VAN - CARGO,2.0,4,A10,X,12.2,8.3,10.4,23,245
MITSUBISHI,MODEL-329,SPECIAL PURPOSE VEHICLE,1.0,4,AS10,Z,9.7,7.1,8.5,28,200
VOLVO,MODEL-648,PICKUP TRUCK - STANDARD,3.5,6,AV8,D,13.0,8.8,11.1,21,295
RAM,MODEL-319,VAN - PASSENGER,3.0,6,AS10,X,13.6,8.9,11.5,20,270
MASERATI,MODEL-510,COMPACT,2.0,6,AV10,X,12.9,9.2,11.2,21,253
